RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,DateofCalculation
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,20,32,2018,10,24,1345,53,30,D,40.375,-9.0966,40.4016,-9.0966,09E0,80,V,NA,1,1,C,4.8,NA,NA,2965,300,NA,NA,-9,NA,-9,12.3,NA,-9,NA,356,3.5,-9,NA,-9,NA,-9,NA,0,315,1.5,17.8,13.9,35.7,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,11,2,1232,55,30,D,36.8466,-8.8316,36.8383,-8.8599,02E1,305,V,NA,1,1,C,-9,NA,NA,2686,900,NA,NA,-9,NA,-9,-9,NA,-9,NA,240,3.3,-9,NA,-9,NA,-9,270,7,270,1.5,19.3,13.8,36.5,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,CAR,NA,R,P,926,54,2018,11,2,1435,54,30,D,36.8833,-8.8316,36.895,-8.8599,02E1,109,V,NA,1,1,C,2.1,NA,NA,2834,450,NA,NA,-9,NA,-9,25.7,NA,-9,NA,290,3.5,-9,NA,-9,NA,-9,295,5,295,1.5,17.1,15.5,36.1,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,CAR,NA,R,P,55,55,2018,11,2,1615,53,30,D,36.9233,-8.9316,36.9233,-8.9683,02E1,99,V,NA,1,1,C,2,NA,NA,3259,400,NA,NA,-9,NA,-9,25.5,NA,-9,NA,272,3.4,-9,NA,-9,NA,-9,295,5,295,1.5,16.7,14.4,36.1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,CAR,NA,R,P,53,56,2018,11,3,705,54,5,D,37.2933,-8.9833,37.2933,-8.9849,03E1,102,I,NA,1,1,C,3.5,NA,NA,147,500,NA,NA,-9,NA,-9,27.2,NA,-9,NA,352,3.4,-9,NA,-9,NA,-9,315,5,315,1.5,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,CAR,NA,R,P,53,57,2018,11,3,1257,54,30,D,37.3566,-9.065,37.3783,-9.0466,03E0,176,V,NA,1,1,C,-9,NA,NA,2903,500,NA,NA,-9,NA,-9,-9,NA,-9,NA,34,3.5,-9,NA,-9,NA,-9,315,7,315,2.5,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,970,6,2018,10,8,1048,55,30,D,41.8033,-9.345,41.7766,-9.3366,12E0,316,V,NA,1,1,C,-9,NA,NA,3044,1100,NA,NA,-9,NA,-9,-9,NA,-9,NA,166,3.3,-9,NA,-9,NA,-9,315,2,315,1.5,15.8,12.5,35.63,35.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,1,5,2018,10,8,650,53,30,D,41.8016,-8.9833,41.8283,-8.99,12E1,78,V,NA,1,1,C,-9,NA,NA,3016,350,NA,NA,-9,NA,-9,-9,NA,-9,NA,332,3.3,-9,NA,-9,NA,-9,360,6,360,1.5,14.1,13,35.6,35.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,2,7,2018,10,8,1300,54,30,D,41.7583,-9.275,41.7316,-9.275,12E0,156,V,NA,1,1,C,-9,NA,NA,2965,650,NA,NA,-9,NA,-9,-9,NA,-9,NA,165,3.5,-9,NA,-9,NA,-9,315,3,315,1,15.7,12.6,35.52,35.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,10,8,1613,53,30,D,41.6416,-8.9883,41.6133,-8.975,12E1,76,V,NA,1,1,C,4.5,NA,NA,3339,300,NA,NA,-9,NA,-9,13.6,NA,-9,NA,162,3.5,-9,NA,-9,NA,-9,315,5,315,1.5,14.2,12.9,35.47,35.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
